Pair.Name	Ligand.ApprovedSymbol	Ligand.Name	Receptor.ApprovedSymbol	Receptor.Name	Classification
COL6A3_ITGB1	COL6A3	collagen, type VI, alpha 3	ITGB1	integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)	other
COL7A1_ITGA2	COL7A1	collagen, type VII, alpha 1	ITGA2	integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)	other
COL7A1_ITGB1	COL7A1	collagen, type VII, alpha 1	ITGB1	integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)	other
COL8A1_ITGA1	COL8A1	collagen, type VIII, alpha 1	ITGA1	integrin, alpha 1	other
COL8A1_ITGA2	COL8A1	collagen, type VIII, alpha 1	ITGA2	integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)	other
COL9A1_MAG	COL9A1	collagen, type IX, alpha 1	MAG	myelin associated glycoprotein	other
COL9A2_MAG	COL9A2	collagen, type IX, alpha 2	MAG	myelin associated glycoprotein	other
COL9A3_MAG	COL9A3	collagen, type IX, alpha 3	MAG	myelin associated glycoprotein	other
COLQ_MUSK	COLQ	collagen-like tail subunit (single strand of homotrimer) of asymmetric acetylcholinesterase	MUSK	muscle, skeletal, receptor tyrosine kinase	other
CORT_GHSR	CORT	cortistatin	GHSR	growth hormone secretagogue receptor	other
CORT_MRGPRX2	CORT	cortistatin	MRGPRX2	MAS-related GPR, member X2	other
CORT_SSTR1	CORT	cortistatin	SSTR1	somatostatin receptor 1	other
CORT_SSTR2	CORT	cortistatin	SSTR2	somatostatin receptor 2	other
CORT_SSTR3	CORT	cortistatin	SSTR3	somatostatin receptor 3	other
CORT_SSTR4	CORT	cortistatin	SSTR4	somatostatin receptor 4	other
CORT_SSTR5	CORT	cortistatin	SSTR5	somatostatin receptor 5	other
CPAMD8_SCTR	CPAMD8	C3 and PZP-like, alpha-2-macroglobulin domain containing 8	SCTR	secretin receptor	other
CP_SLC40A1	CP	ceruloplasmin (ferroxidase)	SLC40A1	solute carrier family 40 (iron-regulated transporter), member 1	other
CRH_CRHR1	CRH	corticotropin releasing hormone	CRHR1	corticotropin releasing hormone receptor 1	other
CRH_CRHR2	CRH	corticotropin releasing hormone	CRHR2	corticotropin releasing hormone receptor 2	other
CRH_MC2R	CRH	corticotropin releasing hormone	MC2R	melanocortin 2 receptor (adrenocorticotropic hormone)	other
CRP_OLR1	CRP	C-reactive protein, pentraxin-related	OLR1	oxidized low density lipoprotein (lectin-like) receptor 1	other
CSF1_CSF1R	CSF1	colony stimulating factor 1 (macrophage)	CSF1R	colony stimulating factor 1 receptor	other
CSF2_CSF1R	CSF2	colony stimulating factor 2 (granulocyte-macrophage)	CSF1R	colony stimulating factor 1 receptor	other
CSF2_CSF2RA	CSF2	colony stimulating factor 2 (granulocyte-macrophage)	CSF2RA	colony stimulating factor 2 receptor, alpha, low-affinity (granulocyte-macrophage)	other
CSF2_CSF2RB	CSF2	colony stimulating factor 2 (granulocyte-macrophage)	CSF2RB	colony stimulating factor 2 receptor, beta, low-affinity (granulocyte-macrophage)	other
CSF2_CSF3R	CSF2	colony stimulating factor 2 (granulocyte-macrophage)	CSF3R	colony stimulating factor 3 receptor (granulocyte)	other
CSF2_IL3RA	CSF2	colony stimulating factor 2 (granulocyte-macrophage)	IL3RA	interleukin 3 receptor, alpha (low affinity)	other
CSF2_ITGA9	CSF2	colony stimulating factor 2 (granulocyte-macrophage)	ITGA9	integrin, alpha 9	other
CSF2_ITGB1	CSF2	colony stimulating factor 2 (granulocyte-macrophage)	ITGB1	integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)	other
CSF2_SDC2	CSF2	colony stimulating factor 2 (granulocyte-macrophage)	SDC2	syndecan 2	other
CSF3_CSF1R	CSF3	colony stimulating factor 3 (granulocyte)	CSF1R	colony stimulating factor 1 receptor	other
CSF3_CSF3R	CSF3	colony stimulating factor 3 (granulocyte)	CSF3R	colony stimulating factor 3 receptor (granulocyte)	other
CSH1_PRLR	CSH1	chorionic somatomammotropin hormone 1 (placental lactogen)	PRLR	prolactin receptor	other
CSH2_PRLR	CSH2	chorionic somatomammotropin hormone 2	PRLR	prolactin receptor	other
CSHL1_GHR	CSHL1	chorionic somatomammotropin hormone-like 1	GHR	growth hormone receptor	other
CSHL1_PRLR	CSHL1	chorionic somatomammotropin hormone-like 1	PRLR	prolactin receptor	other
CTF1_IL6ST	CTF1	cardiotrophin 1	IL6ST	interleukin 6 signal transducer (gp130, oncostatin M receptor)	other
CTF1_LIFR	CTF1	cardiotrophin 1	LIFR	leukemia inhibitory factor receptor alpha	other
CTGF_ERBB4	CTGF	connective tissue growth factor	ERBB4	v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 4	growth factor
CTGF_ITGA5	CTGF	connective tissue growth factor	ITGA5	integrin, alpha 5 (fibronectin receptor, alpha polypeptide)	growth factor
CTGF_ITGAM	CTGF	connective tissue growth factor	ITGAM	integrin, alpha M (complement component 3 receptor 3 subunit)	growth factor
CTGF_ITGB2	CTGF	connective tissue growth factor	ITGB2	integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)	growth factor
CTGF_LRP1	CTGF	connective tissue growth factor	LRP1	low density lipoprotein receptor-related protein 1	growth factor
CTGF_LRP6	CTGF	connective tissue growth factor	LRP6	low density lipoprotein receptor-related protein 6	growth factor
CTGF_NTRK1	CTGF	connective tissue growth factor	NTRK1	neurotrophic tyrosine kinase, receptor, type 1	growth factor
CTHRC1_FZD3	CTHRC1	collagen triple helix repeat containing 1	FZD3	frizzled class receptor 3	other
CTHRC1_FZD5	CTHRC1	collagen triple helix repeat containing 1	FZD5	frizzled class receptor 5	other
CTHRC1_FZD6	CTHRC1	collagen triple helix repeat containing 1	FZD6	frizzled class receptor 6	other
CUBN_LRP2	CUBN	cubilin (intrinsic factor-cobalamin receptor)	LRP2	low density lipoprotein receptor-related protein 2	other
CX3CL1_CX3CR1	CX3CL1	chemokine (C-X3-C motif) ligand 1	CX3CR1	chemokine (C-X3-C motif) receptor 1	cytokine
CXCL10_CCR3	CXCL10	chemokine (C-X-C motif) ligand 10	CCR3	chemokine (C-C motif) receptor 3	cytokine
CXCL10_CXCR3	CXCL10	chemokine (C-X-C motif) ligand 10	CXCR3	chemokine (C-X-C motif) receptor 3	cytokine
CXCL10_SDC4	CXCL10	chemokine (C-X-C motif) ligand 10	SDC4	syndecan 4	cytokine
CXCL11_ACKR3	CXCL11	chemokine (C-X-C motif) ligand 11	ACKR3	atypical chemokine receptor 3	cytokine
CXCL11_CCR3	CXCL11	chemokine (C-X-C motif) ligand 11	CCR3	chemokine (C-C motif) receptor 3	cytokine
CXCL11_CXCR3	CXCL11	chemokine (C-X-C motif) ligand 11	CXCR3	chemokine (C-X-C motif) receptor 3	cytokine
CXCL12_ACKR3	CXCL12	chemokine (C-X-C motif) ligand 12	ACKR3	atypical chemokine receptor 3	cytokine
CXCL12_CCR4	CXCL12	chemokine (C-X-C motif) ligand 12	CCR4	chemokine (C-C motif) receptor 4	cytokine
CXCL12_CD4	CXCL12	chemokine (C-X-C motif) ligand 12	CD4	CD4 molecule	cytokine
CXCL12_CXCR3	CXCL12	chemokine (C-X-C motif) ligand 12	CXCR3	chemokine (C-X-C motif) receptor 3	cytokine
CXCL12_CXCR4	CXCL12	chemokine (C-X-C motif) ligand 12	CXCR4	chemokine (C-X-C motif) receptor 4	cytokine
CXCL12_ITGB1	CXCL12	chemokine (C-X-C motif) ligand 12	ITGB1	integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)	cytokine
CXCL12_SDC4	CXCL12	chemokine (C-X-C motif) ligand 12	SDC4	syndecan 4	cytokine
CXCL13_ACKR4	CXCL13	chemokine (C-X-C motif) ligand 13	ACKR4	atypical chemokine receptor 4	cytokine
CXCL13_CCR10	CXCL13	chemokine (C-X-C motif) ligand 13	CCR10	chemokine (C-C motif) receptor 10	cytokine
CXCL13_CXCR3	CXCL13	chemokine (C-X-C motif) ligand 13	CXCR3	chemokine (C-X-C motif) receptor 3	cytokine
CXCL13_CXCR5	CXCL13	chemokine (C-X-C motif) ligand 13	CXCR5	chemokine (C-X-C motif) receptor 5	cytokine
CXCL13_HTR2A	CXCL13	chemokine (C-X-C motif) ligand 13	HTR2A	5-hydroxytryptamine (serotonin) receptor 2A, G protein-coupled	cytokine
CXCL13_OPRD1	CXCL13	chemokine (C-X-C motif) ligand 13	OPRD1	opioid receptor, delta 1	cytokine
CXCL16_CXCR6	CXCL16	chemokine (C-X-C motif) ligand 16	CXCR6	chemokine (C-X-C motif) receptor 6	cytokine
CXCL1_CXCR1	CXCL1	chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, alpha)	CXCR1	chemokine (C-X-C motif) receptor 1	cytokine
CXCL1_CXCR2	CXCL1	chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, alpha)	CXCR2	chemokine (C-X-C motif) receptor 2	cytokine
CXCL1_DARC	CXCL1	chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, alpha)	DARC	Duffy blood group, atypical chemokine receptor	cytokine
CXCL2_CXCR1	CXCL2	chemokine (C-X-C motif) ligand 2	CXCR1	chemokine (C-X-C motif) receptor 1	cytokine
CXCL2_CXCR2	CXCL2	chemokine (C-X-C motif) ligand 2	CXCR2	chemokine (C-X-C motif) receptor 2	cytokine
CXCL2_XCR1	CXCL2	chemokine (C-X-C motif) ligand 2	XCR1	chemokine (C motif) receptor 1	cytokine
CXCL3_CXCR1	CXCL3	chemokine (C-X-C motif) ligand 3	CXCR1	chemokine (C-X-C motif) receptor 1	cytokine
CXCL3_CXCR2	CXCL3	chemokine (C-X-C motif) ligand 3	CXCR2	chemokine (C-X-C motif) receptor 2	cytokine
CXCL5_CXCR1	CXCL5	chemokine (C-X-C motif) ligand 5	CXCR1	chemokine (C-X-C motif) receptor 1	cytokine
CXCL5_CXCR2	CXCL5	chemokine (C-X-C motif) ligand 5	CXCR2	chemokine (C-X-C motif) receptor 2	cytokine
CXCL5_DARC	CXCL5	chemokine (C-X-C motif) ligand 5	DARC	Duffy blood group, atypical chemokine receptor	cytokine
CXCL6_CXCR1	CXCL6	chemokine (C-X-C motif) ligand 6	CXCR1	chemokine (C-X-C motif) receptor 1	cytokine
CXCL6_CXCR2	CXCL6	chemokine (C-X-C motif) ligand 6	CXCR2	chemokine (C-X-C motif) receptor 2	cytokine
CXCL9_CCR3	CXCL9	chemokine (C-X-C motif) ligand 9	CCR3	chemokine (C-C motif) receptor 3	cytokine
CXCL9_CXCR3	CXCL9	chemokine (C-X-C motif) ligand 9	CXCR3	chemokine (C-X-C motif) receptor 3	cytokine
CYR61_CAV1	CYR61	cysteine-rich, angiogenic inducer, 61	CAV1	caveolin 1, caveolae protein, 22kDa	other
CYR61_ITGA5	CYR61	cysteine-rich, angiogenic inducer, 61	ITGA5	integrin, alpha 5 (fibronectin receptor, alpha polypeptide)	other
CYR61_ITGAM	CYR61	cysteine-rich, angiogenic inducer, 61	ITGAM	integrin, alpha M (complement component 3 receptor 3 subunit)	other
CYR61_ITGAV	CYR61	cysteine-rich, angiogenic inducer, 61	ITGAV	integrin, alpha V	other
CYR61_ITGB2	CYR61	cysteine-rich, angiogenic inducer, 61	ITGB2	integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)	other
CYR61_ITGB3	CYR61	cysteine-rich, angiogenic inducer, 61	ITGB3	integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)	other
CYR61_ITGB5	CYR61	cysteine-rich, angiogenic inducer, 61	ITGB5	integrin, beta 5	other
DCN_EGFR	DCN	decorin	EGFR	epidermal growth factor receptor	other
DCN_ERBB4	DCN	decorin	ERBB4	v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 4	other
DCN_MET	DCN	decorin	MET	met proto-oncogene	other
DEFB103A_CCR6	DEFB103A	defensin, beta 103A	CCR6	chemokine (C-C motif) receptor 6	other
DEFB103B_CCR2	DEFB103B	defensin, beta 103B	CCR2	chemokine (C-C motif) receptor 2	other
DEFB103B_CCR6	DEFB103B	defensin, beta 103B	CCR6	chemokine (C-C motif) receptor 6	other
DEFB1_CCR6	DEFB1	defensin, beta 1	CCR6	chemokine (C-C motif) receptor 6	other
DEFB4A_CCR6	DEFB4A	defensin, beta 4A	CCR6	chemokine (C-C motif) receptor 6	other
DEFB4A_TLR4	DEFB4A	defensin, beta 4A	TLR4	toll-like receptor 4	other
DEFB4B_CCR6	DEFB4B	defensin, beta 4B	CCR6	chemokine (C-C motif) receptor 6	other
DHH_BOC	DHH	desert hedgehog	BOC	BOC cell adhesion associated, oncogene regulated	other
DHH_CDON	DHH	desert hedgehog	CDON	cell adhesion associated, oncogene regulated	other
DHH_HHIP	DHH	desert hedgehog	HHIP	hedgehog interacting protein	other
DHH_PTCH1	DHH	desert hedgehog	PTCH1	patched 1	other
DHH_PTCH2	DHH	desert hedgehog	PTCH2	patched 2	other
DKK1_KREMEN1	DKK1	dickkopf WNT signaling pathway inhibitor 1	KREMEN1	kringle containing transmembrane protein 1	other
DKK1_KREMEN2	DKK1	dickkopf WNT signaling pathway inhibitor 1	KREMEN2	kringle containing transmembrane protein 2	other
DKK1_LRP5	DKK1	dickkopf WNT signaling pathway inhibitor 1	LRP5	low density lipoprotein receptor-related protein 5	other
DKK1_LRP6	DKK1	dickkopf WNT signaling pathway inhibitor 1	LRP6	low density lipoprotein receptor-related protein 6	other
DKK2_KREMEN2	DKK2	dickkopf WNT signaling pathway inhibitor 2	KREMEN2	kringle containing transmembrane protein 2	other
DKK2_LRP6	DKK2	dickkopf WNT signaling pathway inhibitor 2	LRP6	low density lipoprotein receptor-related protein 6	other
DLK1_NOTCH1	DLK1	delta-like 1 homolog (Drosophila)	NOTCH1	notch 1	other
DLK1_NOTCH2	DLK1	delta-like 1 homolog (Drosophila)	NOTCH2	notch 2	other
DLK1_NOTCH3	DLK1	delta-like 1 homolog (Drosophila)	NOTCH3	notch 3	other
DLK1_NOTCH4	DLK1	delta-like 1 homolog (Drosophila)	NOTCH4	notch 4	other
DLK2_NOTCH1	DLK2	delta-like 2 homolog (Drosophila)	NOTCH1	notch 1	other
DLL1_NOTCH1	DLL1	delta-like 1 (Drosophila)	NOTCH1	notch 1	other
DLL1_NOTCH2	DLL1	delta-like 1 (Drosophila)	NOTCH2	notch 2	other
DLL1_NOTCH3	DLL1	delta-like 1 (Drosophila)	NOTCH3	notch 3	other
DLL1_NOTCH4	DLL1	delta-like 1 (Drosophila)	NOTCH4	notch 4	other
DLL3_NOTCH1	DLL3	delta-like 3 (Drosophila)	NOTCH1	notch 1	other
DLL3_NOTCH2	DLL3	delta-like 3 (Drosophila)	NOTCH2	notch 2	other
DLL3_NOTCH3	DLL3	delta-like 3 (Drosophila)	NOTCH3	notch 3	other
DLL3_NOTCH4	DLL3	delta-like 3 (Drosophila)	NOTCH4	notch 4	other
DLL4_NOTCH1	DLL4	delta-like 4 (Drosophila)	NOTCH1	notch 1	other
DLL4_NOTCH2	DLL4	delta-like 4 (Drosophila)	NOTCH2	notch 2	other
DLL4_NOTCH3	DLL4	delta-like 4 (Drosophila)	NOTCH3	notch 3	other
DLL4_NOTCH4	DLL4	delta-like 4 (Drosophila)	NOTCH4	notch 4	other
DSCAM_DCC	DSCAM	Down syndrome cell adhesion molecule	DCC	deleted in colorectal carcinoma	other
DUSP18_CD151	DUSP18	dual specificity phosphatase 18	CD151	CD151 molecule (Raph blood group)	other
DUSP18_ITGA1	DUSP18	dual specificity phosphatase 18	ITGA1	integrin, alpha 1	other
DUSP18_ITGA2	DUSP18	dual specificity phosphatase 18	ITGA2	integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)	other
DUSP18_ITGA3	DUSP18	dual specificity phosphatase 18	ITGA3	integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor)	other
DUSP18_ITGA6	DUSP18	dual specificity phosphatase 18	ITGA6	integrin, alpha 6	other
DUSP18_ITGA7	DUSP18	dual specificity phosphatase 18	ITGA7	integrin, alpha 7	other
DUSP18_ITGB1	DUSP18	dual specificity phosphatase 18	ITGB1	integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)	other
DUSP18_ITGB4	DUSP18	dual specificity phosphatase 18	ITGB4	integrin, beta 4	other
DUSP18_RPSA	DUSP18	dual specificity phosphatase 18	RPSA	ribosomal protein SA	other
EBI3_IL27RA	EBI3	Epstein-Barr virus induced 3	IL27RA	interleukin 27 receptor, alpha	other
EBI3_IL6ST	EBI3	Epstein-Barr virus induced 3	IL6ST	interleukin 6 signal transducer (gp130, oncostatin M receptor)	other
ECM1_CACHD1	ECM1	extracellular matrix protein 1	CACHD1	cache domain containing 1	other
EDA_EDA2R	EDA	ectodysplasin A	EDA2R	ectodysplasin A2 receptor	other
EDA_EDAR	EDA	ectodysplasin A	EDAR	ectodysplasin A receptor	other
EDIL3_ITGAV	EDIL3	EGF-like repeats and discoidin I-like domains 3	ITGAV	integrin, alpha V	other
EDIL3_ITGB5	EDIL3	EGF-like repeats and discoidin I-like domains 3	ITGB5	integrin, beta 5	other
EDN1_EDNRA	EDN1	endothelin 1	EDNRA	endothelin receptor type A	other
EDN1_EDNRB	EDN1	endothelin 1	EDNRB	endothelin receptor type B	other
EDN1_ELTD1	EDN1	endothelin 1	ELTD1	EGF, latrophilin and seven transmembrane domain containing 1	other
EDN1_KEL	EDN1	endothelin 1	KEL	Kell blood group, metallo-endopeptidase	other
EDN2_EDNRA	EDN2	endothelin 2	EDNRA	endothelin receptor type A	other
EDN2_EDNRB	EDN2	endothelin 2	EDNRB	endothelin receptor type B	other
EDN2_KEL	EDN2	endothelin 2	KEL	Kell blood group, metallo-endopeptidase	other
EDN3_EDNRA	EDN3	endothelin 3	EDNRA	endothelin receptor type A	other
EDN3_EDNRB	EDN3	endothelin 3	EDNRB	endothelin receptor type B	other
EDN3_KEL	EDN3	endothelin 3	KEL	Kell blood group, metallo-endopeptidase	other
EFEMP1_EGFR	EFEMP1	EGF containing fibulin-like extracellular matrix protein 1	EGFR	epidermal growth factor receptor	other
EFEMP2_AQP1	EFEMP2	EGF containing fibulin-like extracellular matrix protein 2	AQP1	aquaporin 1 (Colton blood group)	other
EFEMP2_CATSPER1	EFEMP2	EGF containing fibulin-like extracellular matrix protein 2	CATSPER1	cation channel, sperm associated 1	other
EFEMP2_LINGO1	EFEMP2	EGF containing fibulin-like extracellular matrix protein 2	LINGO1	leucine rich repeat and Ig domain containing 1	other
EFEMP2_PLSCR4	EFEMP2	EGF containing fibulin-like extracellular matrix protein 2	PLSCR4	phospholipid scramblase 4	other
EFNA1_EPHA1	EFNA1	ephrin-A1	EPHA1	EPH receptor A1	other
EFNA1_EPHA2	EFNA1	ephrin-A1	EPHA2	EPH receptor A2	other
EFNA1_EPHA3	EFNA1	ephrin-A1	EPHA3	EPH receptor A3	other
EFNA1_EPHA4	EFNA1	ephrin-A1	EPHA4	EPH receptor A4	other
EFNA1_EPHA5	EFNA1	ephrin-A1	EPHA5	EPH receptor A5	other
EFNA1_EPHA6	EFNA1	ephrin-A1	EPHA6	EPH receptor A6	other
EFNA1_EPHA7	EFNA1	ephrin-A1	EPHA7	EPH receptor A7	other
EFNA1_EPHA8	EFNA1	ephrin-A1	EPHA8	EPH receptor A8	other
EFNA1_EPHB1	EFNA1	ephrin-A1	EPHB1	EPH receptor B1	other
EFNA1_EPHB6	EFNA1	ephrin-A1	EPHB6	EPH receptor B6	other
EFNA2_EPHA1	EFNA2	ephrin-A2	EPHA1	EPH receptor A1	other
EFNA2_EPHA2	EFNA2	ephrin-A2	EPHA2	EPH receptor A2	other
EFNA2_EPHA3	EFNA2	ephrin-A2	EPHA3	EPH receptor A3	other
EFNA2_EPHA4	EFNA2	ephrin-A2	EPHA4	EPH receptor A4	other
EFNA2_EPHA5	EFNA2	ephrin-A2	EPHA5	EPH receptor A5	other
EFNA2_EPHA6	EFNA2	ephrin-A2	EPHA6	EPH receptor A6	other
EFNA2_EPHA7	EFNA2	ephrin-A2	EPHA7	EPH receptor A7	other
EFNA2_EPHA8	EFNA2	ephrin-A2	EPHA8	EPH receptor A8	other
EFNA3_EPHA1	EFNA3	ephrin-A3	EPHA1	EPH receptor A1	other
EFNA3_EPHA2	EFNA3	ephrin-A3	EPHA2	EPH receptor A2	other
EFNA3_EPHA3	EFNA3	ephrin-A3	EPHA3	EPH receptor A3	other
EFNA3_EPHA4	EFNA3	ephrin-A3	EPHA4	EPH receptor A4	other
EFNA3_EPHA5	EFNA3	ephrin-A3	EPHA5	EPH receptor A5	other
EFNA3_EPHA6	EFNA3	ephrin-A3	EPHA6	EPH receptor A6	other
EFNA3_EPHA7	EFNA3	ephrin-A3	EPHA7	EPH receptor A7	other
EFNA3_EPHA8	EFNA3	ephrin-A3	EPHA8	EPH receptor A8	other
EFNA3_EPHB1	EFNA3	ephrin-A3	EPHB1	EPH receptor B1	other
EFNA3_EPHB6	EFNA3	ephrin-A3	EPHB6	EPH receptor B6	other
EFNA4_EPHA1	EFNA4	ephrin-A4	EPHA1	EPH receptor A1	other
EFNA4_EPHA2	EFNA4	ephrin-A4	EPHA2	EPH receptor A2	other
EFNA4_EPHA3	EFNA4	ephrin-A4	EPHA3	EPH receptor A3	other
EFNA4_EPHA4	EFNA4	ephrin-A4	EPHA4	EPH receptor A4	other
EFNA4_EPHA5	EFNA4	ephrin-A4	EPHA5	EPH receptor A5	other
EFNA4_EPHA6	EFNA4	ephrin-A4	EPHA6	EPH receptor A6	other
EFNA4_EPHA7	EFNA4	ephrin-A4	EPHA7	EPH receptor A7	other
EFNA4_EPHA8	EFNA4	ephrin-A4	EPHA8	EPH receptor A8	other
EFNA5_EPHA1	EFNA5	ephrin-A5	EPHA1	EPH receptor A1	other
EFNA5_EPHA2	EFNA5	ephrin-A5	EPHA2	EPH receptor A2	other
EFNA5_EPHA3	EFNA5	ephrin-A5	EPHA3	EPH receptor A3	other
EFNA5_EPHA4	EFNA5	ephrin-A5	EPHA4	EPH receptor A4	other
EFNA5_EPHA5	EFNA5	ephrin-A5	EPHA5	EPH receptor A5	other
EFNA5_EPHA6	EFNA5	ephrin-A5	EPHA6	EPH receptor A6	other
EFNA5_EPHA7	EFNA5	ephrin-A5	EPHA7	EPH receptor A7	other
EFNA5_EPHA8	EFNA5	ephrin-A5	EPHA8	EPH receptor A8	other
EFNA5_EPHB1	EFNA5	ephrin-A5	EPHB1	EPH receptor B1	other
EFNA5_EPHB2	EFNA5	ephrin-A5	EPHB2	EPH receptor B2	other
EFNA5_EPHB6	EFNA5	ephrin-A5	EPHB6	EPH receptor B6	other
EFNB1_EPHA4	EFNB1	ephrin-B1	EPHA4	EPH receptor A4	other
EFNB1_EPHA6	EFNB1	ephrin-B1	EPHA6	EPH receptor A6	other
EFNB1_EPHB1	EFNB1	ephrin-B1	EPHB1	EPH receptor B1	other
EFNB1_EPHB2	EFNB1	ephrin-B1	EPHB2	EPH receptor B2	other
EFNB1_EPHB3	EFNB1	ephrin-B1	EPHB3	EPH receptor B3	other
EFNB1_EPHB4	EFNB1	ephrin-B1	EPHB4	EPH receptor B4	other
EFNB1_EPHB6	EFNB1	ephrin-B1	EPHB6	EPH receptor B6	other
EFNB1_ERBB2	EFNB1	ephrin-B1	ERBB2	v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 2	other
EFNB2_EPHA3	EFNB2	ephrin-B2	EPHA3	EPH receptor A3	other
EFNB2_EPHA4	EFNB2	ephrin-B2	EPHA4	EPH receptor A4	other
EFNB2_EPHA6	EFNB2	ephrin-B2	EPHA6	EPH receptor A6	other
EFNB2_EPHB1	EFNB2	ephrin-B2	EPHB1	EPH receptor B1	other
EFNB2_EPHB2	EFNB2	ephrin-B2	EPHB2	EPH receptor B2	other
EFNB2_EPHB3	EFNB2	ephrin-B2	EPHB3	EPH receptor B3	other
EFNB2_EPHB4	EFNB2	ephrin-B2	EPHB4	EPH receptor B4	other
EFNB2_EPHB6	EFNB2	ephrin-B2	EPHB6	EPH receptor B6	other
EFNB2_GRM1	EFNB2	ephrin-B2	GRM1	glutamate receptor, metabotropic 1	other
EFNB2_GRM5	EFNB2	ephrin-B2	GRM5	glutamate receptor, metabotropic 5	other
EFNB2_PECAM1	EFNB2	ephrin-B2	PECAM1	platelet/endothelial cell adhesion molecule 1	other
EFNB2_RHBDL2	EFNB2	ephrin-B2	RHBDL2	rhomboid, veinlet-like 2 (Drosophila)	other
EFNB3_EPHA4	EFNB3	ephrin-B3	EPHA4	EPH receptor A4	other
EFNB3_EPHB1	EFNB3	ephrin-B3	EPHB1	EPH receptor B1	other
EFNB3_EPHB2	EFNB3	ephrin-B3	EPHB2	EPH receptor B2	other
EFNB3_EPHB3	EFNB3	ephrin-B3	EPHB3	EPH receptor B3	other
EFNB3_EPHB4	EFNB3	ephrin-B3	EPHB4	EPH receptor B4	other
EFNB3_EPHB6	EFNB3	ephrin-B3	EPHB6	EPH receptor B6	other
EFNB3_RHBDL2	EFNB3	ephrin-B3	RHBDL2	rhomboid, veinlet-like 2 (Drosophila)	other
EGFL8_NCR3	EGFL8	EGF-like-domain, multiple 8	NCR3	natural cytotoxicity triggering receptor 3	growth factor
EGF_CAV1	EGF	epidermal growth factor	CAV1	caveolin 1, caveolae protein, 22kDa	growth factor
EGF_EGFR	EGF	epidermal growth factor	EGFR	epidermal growth factor receptor	growth factor
EGF_ERBB2	EGF	epidermal growth factor	ERBB2	v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 2	growth factor
EGF_ERBB3	EGF	epidermal growth factor	ERBB3	v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 3	growth factor
EGF_ERBB4	EGF	epidermal growth factor	ERBB4	v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 4	growth factor
EGF_FSHR	EGF	epidermal growth factor	FSHR	follicle stimulating hormone receptor	growth factor
EPGN_EGFR	EPGN	epithelial mitogen	EGFR	epidermal growth factor receptor	other
EPO_EPOR	EPO	erythropoietin	EPOR	erythropoietin receptor	other
EREG_EGFR	EREG	epiregulin	EGFR	epidermal growth factor receptor	other
EREG_ERBB2	EREG	epiregulin	ERBB2	v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 2	other
EREG_ERBB3	EREG	epiregulin	ERBB3	v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 3	other
EREG_ERBB4	EREG	epiregulin	ERBB4	v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 4	other
F10_F3	F10	coagulation factor X	F3	coagulation factor III (thromboplastin, tissue factor)	other
F10_ITGAM	F10	coagulation factor X	ITGAM	integrin, alpha M (complement component 3 receptor 3 subunit)	other
F10_ITGB2	F10	coagulation factor X	ITGB2	integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)	other
F11_GP1BA	F11	coagulation factor XI	GP1BA	glycoprotein Ib (platelet), alpha polypeptide	other
F12_CD93	F12	coagulation factor XII (Hageman factor)	CD93	CD93 molecule	other
F12_GP1BA	F12	coagulation factor XII (Hageman factor)	GP1BA	glycoprotein Ib (platelet), alpha polypeptide	other
F13A1_ITGA4	F13A1	coagulation factor XIII, A1 polypeptide	ITGA4	integrin, alpha 4 (antigen CD49D, alpha 4 subunit of VLA-4 receptor)	other
F13A1_ITGA9	F13A1	coagulation factor XIII, A1 polypeptide	ITGA9	integrin, alpha 9	other
F13A1_ITGB1	F13A1	coagulation factor XIII, A1 polypeptide	ITGB1	integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)	other
F2_F2R	F2	coagulation factor II (thrombin)	F2R	coagulation factor II (thrombin) receptor	other
